ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
labp50a6q,0,0,0,0,0,-1.6157022275450914,0,0,0.4557640000000001,1,0,14,2,1620740441,-0.7780152036830672
iabf02jrq,0,35,0,0,0,0.9375950901966635,0,0,0.667164,3,1,107,2,1620740441,-0.7780152036830672
j8i0csxfq,0,34,0,1,2,0.919839605356715,1,1,2.046536,0,1,1507,2,1620740441,-0.7780152036830672
lb3e40r2q,0,0,0,0,0,-1.6157022275450914,0,0,0.462188,1,0,22,2,1620740441,-0.7780152036830672
j8rz01030,1,103,0,1,2,1.582208565643392,1,1,3.5726400000000003,0,1,4260,7,1620740441,1.4459577508481383
od9m30010,1,2.6,0,0,1,-0.6312428798685431,0,0,0.318,2,0,37.14,3,1620740441,0.2397118177539458
j8qa03010,1,9,0,0,2,0.09506200417781331,0,0,0.674108,0,1,108,9,1620740441,1.6313035653743424
ibcu99d8q,0,35,0,0,0,0.9375950901966635,0,0,0.611328,3,0,43,2,1620740441,-0.7780152036830672
j8r005030,1,69,0,1,2,1.3470427631721529,1,1,2.797344,0,1,3618,5,1620740441,1.0921440788857568
ico801zdq,0,1,1,1,2,-1.0724141621312375,1,0,1.114132,3,1,107,2,1620740441,-0.7780152036830672
iaak32oyq,0,21.3,0,0,0,0.6310862370774407,0,0,1.08,3,0,18,1,1620740441,-3.2299932216233636
j8r023010,1,69,0,1,2,1.3470427631721529,1,1,2.811168,0,1,2900,5,1620740441,1.0921440788857568
ico801zwq,0,1,1,1,2,-1.0724141621312375,1,0,1.113588,3,1,125,2,1620740441,-0.7780152036830672
j8i0bhkjq,0,34,0,1,2,0.919839605356715,1,1,2.043432,0,1,2571,2,1620740441,-0.7780152036830672
la7t04waq,0,2,1,0,0,-0.7662158670999736,0,0,0.456332,1,0,22,2,1620740441,-0.7780152036830672
la7t03tqq,0,1,1,0,0,-1.0724141621312375,0,0,0.455048,1,0,22,2,1620740441,-0.7780152036830672
j8i0aqrwq,0,34,0,1,2,0.919839605356715,1,1,2.04526,0,1,1851,2,1620740441,-0.7780152036830672
labq03p4q,0,0,0,0,0,-1.6157022275450914,0,0,0.454484,1,0,17,2,1620740441,-0.7780152036830672
jbv8a1pjq,0,35.7,0,1,1,0.9497134224619811,0,0,0.381,0,0,22.51,1,1620740441,-3.2299932216233636
j6n504odq,0,2.3,0,0,1,-0.6954500398762936,0,0,1.13,0,1,31,1,1620740441,-3.2299932216233636
ibbu02vjq,0,13,0,0,0,0.3234899654738656,0,0,0.533496,3,1,35,2,1620740441,-0.7780152036830672
labp73g9q,0,0,0,0,0,-1.6157022275450914,0,0,0.454512,1,0,18,2,1620740441,-0.7780152036830672
j8rq38020,1,138,0,1,2,1.750568425712719,1,1,4.243144,0,1,3838,9,1620740441,1.6313035653743424
iaac240l0,1,1,1,0,0,-1.0724141621312375,0,1,4.95,3,1,42,3,1620740441,0.2397118177539458
j8i0b1wjq,0,34,0,1,2,0.919839605356715,1,1,2.044176,0,1,1745,2,1620740441,-0.7780152036830672
ico801zoq,0,1,1,1,2,-1.0724141621312375,1,0,1.113772,3,1,122,2,1620740441,-0.7780152036830672
j8r014020,1,69,0,1,2,1.3470427631721529,1,1,2.813696,0,1,3387,5,1620740441,1.0921440788857568
la9k01rzq,0,0,1,0,0,-1.6157022275450914,0,0,0.455064,1,0,20,2,1620740441,-0.7780152036830672
j8i0csx2q,0,34,0,1,2,0.919839605356715,1,1,2.0451040000000003,0,1,2339,2,1620740441,-0.7780152036830672
labn02faq,0,0,0,0,0,-1.6157022275450914,0,0,0.461616,1,0,28,2,1620740441,-0.7780152036830672
j8i0ayj0q,0,34,0,1,2,0.919839605356715,1,1,2.044536,0,1,1296,2,1620740441,-0.7780152036830672
ico801zzq,0,1,1,1,2,-1.0724141621312375,1,0,1.113864,3,1,111,2,1620740441,-0.7780152036830672
ibcub9axq,0,35,0,0,0,0.9375950901966635,0,0,0.614776,3,0,45,2,1620740441,-0.7780152036830672
j8f54mbaq,0,34.3,0,1,1,0.9252225381380749,0,0,0.381,0,0,15.82,1,1620740441,-3.2299932216233636
laa102gbq,0,0,0,0,0,-1.6157022275450914,0,0,0.462732,1,0,19,2,1620740441,-0.7780152036830672
j8i0c7pkq,0,34,0,1,2,0.919839605356715,1,1,2.067828,0,1,1619,2,1620740441,-0.7780152036830672
lb1v14ipq,0,0,0,0,0,-1.6157022275450914,0,0,0.4543,1,0,13,2,1620740441,-0.7780152036830672
lb1414h2q,0,9,1,0,0,0.09506200417781331,0,0,0.45428,1,0,10,2,1620740441,-0.7780152036830672
